epoch,train_loss,train_accuracy,train_macro_f1,learning_rate
1,4.743031422085271,0.4564624613706599,0.06561010311624922,0.00011607142857142857
2,2.637677066392453,0.7854935466278858,0.11911592988868798,0.00023154761904761904
3,1.8029048237837872,0.8184168535013836,0.1538184981754969,0.0002990059306291014
4,1.5765304015216297,0.829505746429942,0.185100161585932,0.00028807660389704203
5,1.3996720891182894,0.8397665070997192,0.2482969667075467,0.00026600605761390714
6,1.232338545161527,0.8494819123795674,0.32838478606606697,0.0002347921759751224
7,1.0574589890917863,0.8582681936617584,0.40571988453594965,0.0001972605220639032
8,0.9101729019057226,0.867377648508352,0.5214581244372105,0.0001568085604112798
9,0.7755252573167445,0.8755781777050637,0.5976628904065505,0.00011709810952518396
10,0.6851138334407783,0.8832939465551718,0.6575423200099864,8.172386439869739e-05
11,0.6081305828319663,0.8905855501020017,0.7147446624167734,5.3887995216313014e-05
12,0.5637959193301121,0.8954735502635884,0.7505089204763804,3.611027844355133e-05
13,0.5344189341988926,0.8962208891312691,0.7584506911877837,2.9999999999999997e-05
