epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate
1,4.9111874201579235,0.40480568836582076,0.06048270287430479,4.455865906116777,0.7023154516276937,0.10558986911460234,5.031249999999999e-05
2,3.412578390590756,0.732916513424053,0.09957063594188881,2.195904039560464,0.7961944062356717,0.12374602016675991,0.00010031249999999998
3,2.1737374872060564,0.7930611744513915,0.1256048313690597,1.6792751579643226,0.8293214121962402,0.14438356586983916,0.0001503125
4,1.8056374107284612,0.8164030893710923,0.1593874243156256,1.5290347617025608,0.8392939018798716,0.16209552305481456,0.0002003125
5,1.6116466934882325,0.8258183155571901,0.1846017077889911,1.461909080196662,0.8502980284273269,0.17465456330749043,0.0002503125
6,1.475837174291425,0.835209022925095,0.23062436186436258,1.436726854788716,0.8449105914718019,0.19174449401404783,0.0003
7,1.3235766224699217,0.8407257570185117,0.29654069436021213,1.4247227718610382,0.8397524071526823,0.1870293151876713,0.0002988450562854644
8,1.1533268377888184,0.849773200931715,0.37364193833257603,1.4515909374662082,0.8444520861989913,0.1961172833909233,0.0002953999865490242
9,0.981541351876277,0.859188427117813,0.47097740158617885,1.4873501008281682,0.8452544704264099,0.20582672224197754,0.0002897237368890237
10,0.8236170518335443,0.86843202157656,0.5685583750392629,1.529940207471327,0.8455983493810179,0.1977664773631725,0.0002819134295108992
11,0.6992904441941525,0.8792203015814638,0.6598393897740955,1.595332587000319,0.8449105914718019,0.20300131024095136,0.0002721027009393167
12,0.6030156045096228,0.8837808017653549,0.7055487453482125,1.6624366524349599,0.8475469967904631,0.198248499798366,0.0002604594154601839
13,0.5015562697823059,0.8938335172244698,0.7586843532114684,1.7165075542182344,0.8493810178817056,0.20815684036407273,0.00024718279291617725
14,0.44841601150255367,0.9011401250459727,0.7877165657802315,1.7669623040212834,0.8500687757909215,0.2019832558376048,0.00023249999999999999
15,0.39621410681743374,0.9064361897756528,0.8283579802857561,1.819306784078431,0.8506419073819349,0.18853955596081656,0.00021666226336928708
16,0.3433435023850314,0.9121245555964203,0.8444781178992301,1.8952784393971691,0.8512150389729481,0.19614783136091682,0.0001999405710888403
17,0.31905939008173323,0.9158514159617507,0.8547928026597068,1.9519128476955758,0.8509857863365429,0.19834415044702047,0.00018262103594970697
18,0.2859408991622095,0.9233051366924114,0.8743652450819729,2.032604986131328,0.8507565337001376,0.19400542384990616,0.000165
19,0.26003761859417723,0.9281108250582322,0.8855260196403084,2.067452313975422,0.8547684548372306,0.19213732025152272,0.00014737896405029306
