support_bin,rows,answers,accuracy,macro_f1
2-5,23,12,0.0,0.0
6-20,177,59,0.05649717514124294,0.034186882300089844
21-100,346,41,0.22254335260115607,0.12869772341104174
>100,8141,30,0.8981697580149859,0.24376006853386528
