support_bin,rows,answers,accuracy,macro_f1
1-4,163,70,0.0736196319018405,0.04836561743341405
5-19,379,42,0.1503957783641161,0.06464415321279693
20-99,594,14,0.45286195286195285,0.12066020362912079
100+,7551,16,0.9348430671434247,0.2338235468754045
