epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate
1,2.623041675266672,0.7813295650239365,0.050160376193169424,2.0545875090567973,0.841437028935543,0.1160712635495828,0.0003
2,1.6598228044954573,0.8339980059820539,0.20129103813691268,2.20392239779973,0.8374901923488433,0.1190909174744678,0.0003
3,1.0942773146965579,0.8551329482626501,0.4756233221551551,2.4667451660695274,0.8369195653724529,0.11467152695435533,0.0003
4,0.8029706969393223,0.8696348969620066,0.6326973579127053,2.7591865252358967,0.8382272521933475,0.11514761782152265,0.0003
5,0.6257241612958494,0.8837124988670353,0.7287672419283588,2.993448886158446,0.8405810884709575,0.1143430454345568,0.0003
6,0.5116155322703109,0.8956477674414772,0.7851495608748252,3.2342768591376942,0.8413181483154616,0.1153665396951501,0.0003
7,0.4271822060545284,0.9048186020451043,0.824870061974761,3.405064148655626,0.8428873725005349,0.11909374774488216,0.0003
8,0.362649924749419,0.9139070392129397,0.8534598087898018,3.6916927360695295,0.8430538053686488,0.11418720309299447,0.0003
9,0.3193545886751933,0.9212198116394618,0.8733653639769984,3.848801779694291,0.8432677904847952,0.10972680637724408,0.0003
10,0.2809027379391062,0.927527335349324,0.8914915992113306,3.9673949300728397,0.8443852683135595,0.11341812061936679,0.0003
11,0.25402411561620364,0.932821370598947,0.9036106320174393,4.089059244903604,0.8428160441284862,0.11659740654709182,0.0003
12,0.22850526137167887,0.9372955513624416,0.9109651972529407,4.373970492153303,0.8494495827290235,0.12120943514327127,0.0003
13,0.20789112384420988,0.9430592519960779,0.9210549363187066,4.492513218501736,0.8439572980812667,0.12320714485981624,0.0003
14,0.19152241514118618,0.9460379192999514,0.9301185778523062,4.64653288680076,0.8498775529613163,0.13137305120609885,0.0003
15,0.1777876042942664,0.9488929904501372,0.9325270555590599,4.849853077414157,0.8511852397822107,0.12267128529607639,0.0003
