epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,learning_rate
1,3.102529165659141,0.7040578644109354,0.09956134150859083,1.8171780144386693,0.8152223750573132,0.1373597909485049,0.0003
2,1.8773589628503007,0.8089003310040456,0.1362783225042356,1.5283813780461468,0.8363136176066025,0.1624062916531088,0.0003
3,1.633622774227849,0.8287605737403457,0.16285044261415274,1.47532462029761,0.8430765703805594,0.16778433009195243,0.0003
4,1.5226784033212384,0.8363123697437783,0.18438476896003997,1.452760763148658,0.848922512608895,0.1772406199790747,0.0003
5,1.4278918563274685,0.8404805688365821,0.21688102855643188,1.4508021003551737,0.853622191655204,0.18746601159545467,0.0003
6,1.3329071331070936,0.8467819051121735,0.257869057393176,1.4690522782466982,0.8519027968821642,0.18776086117481539,0.0003
7,1.2588294789445331,0.8520289322054677,0.3088476050050922,1.4924791116662006,0.8524759284731774,0.19709357593631746,0.0003
8,1.1844821004477644,0.8544562952065711,0.3315790665557515,1.5079991805996167,0.8501834021091242,0.1859877771005173,0.0003
9,1.0993274448899146,0.8588451636631115,0.37150297166002316,1.512320179722824,0.847890875745071,0.19393828140025682,0.0003
10,1.0335165847395658,0.8627926933921785,0.4216978430568727,1.5432342818328844,0.8516735442457588,0.19564684127778206,0.0003
11,0.971959052109844,0.8651955375750889,0.4499291463888992,1.5985075593377296,0.8493810178817056,0.18771453882137693,0.0003
