support_bin,rows,answers,accuracy,macro_f1
1-4,385,204,0.922077922077922,0.8651298701298701
5-19,806,81,0.8870967741935484,0.6446266320486068
20-99,1717,44,0.8969132207338381,0.5451808467828801
100+,37376,31,0.9669038955479452,0.32696427306775455
