support_bin,rows,answers,accuracy,macro_f1
1-4,163,70,0.10429447852760736,0.10358543417366946
5-19,369,41,0.08943089430894309,0.09313242264148944
20-99,594,14,0.03535353535353535,0.016916365773406807
100+,7551,16,0.35531717653290956,0.028383524659758956
