support_bin,rows,answers,accuracy,macro_f1
1-4,60,21,0.0,0.0
5-19,745,75,0.012080536912751677,0.015591397849462365
20-99,1365,36,0.01978021978021978,0.021832086217187387
100+,29036,29,0.36069017771042844,0.05758914144960633
