support_bin,rows,answers,accuracy,macro_f1
1-4,401,211,0.3940149625935162,0.3022160379303237
5-19,795,83,0.3710691823899371,0.2437856266106933
20-99,1365,36,0.3076923076923077,0.10216003498715705
100+,29036,29,0.9124190659870506,0.15407628792567452
