experiment,train_dataset,eval_dataset,use_captions,eval_rows_before_filter,eval_rows_after_filter,eval_rows_dropped_unseen_answer,answer_classes,question_classes,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,balanced_accuracy,test_loss,best_val_macro_f1,best_epoch,config
x1_no_caption,['Kvasir-VQA-x1'],['Kvasir-VQA-x1'],False,31622,31597,25,469,19,0.9541728645124538,0.8730152257184085,0.9543701987563301,0.8949139817214113,0.8732440012025109,0.8878386084649483,0.7106810254051168,0.13137305120609885,14,"{'batch_size': 256, 'learning_rate': 0.0003, 'max_epochs': 15, 'patience': 15, 'optimizer': 'AdamW', 'loss': 'weighted CrossEntropyLoss', 'dropout': 0.3, 'hidden_dim': 256, 'question_dim': 48, 'text_svd_dim': 96}"
kvasir_to_x1,['Kvasir-VQA'],['Kvasir-VQA-x1'],True,31622,31206,416,162,21,0.5020829327693392,0.060192230613105836,0.45895747347919974,0.10225988747484609,0.07968679078572599,0.08018173979681746,3.2640952706405737,0.19709357593631746,7,"{'batch_size': 256, 'learning_rate': 0.0003, 'max_epochs': 15, 'patience': 4, 'optimizer': 'AdamW', 'loss': 'weighted CrossEntropyLoss', 'dropout': 0.3}"
