support_bin,rows,answers,accuracy,macro_f1
1-4,163,70,0.03067484662576687,0.013555555555555557
5-19,379,42,0.14775725593667546,0.07141521192323122
20-99,594,14,0.44612794612794615,0.1492870949167761
100+,7551,16,0.92464574228579,0.34400226704415565
